;	몹의 잡담							
#Ignore	\o042		; 인용부호 무시					
#RecordIn	HELPMAIN	T_SkelArcher06	800	800	Krrr~ my precious body is breaking into pieces. I'll never let you go easily.	"OK, I recognize you. But it won't be that easy~"	"Hey, there's a problem here."	Hey!! Come here!! Quick!! Hurry!!
#RecordIn	HELPSUB	T_SkelArcher07	800	800	-	-	-	-
#RecordIn	RACERESCUE	T_SkelArcher08	800	800	-	-	-	-
#RecordIn	PIECE	T_Skeleton	4000000	6000000	I'm getting fat lately.	I smell the blood around here...Ha-ha...	"Yes, sir! Captain!"	"I need oiling, gosh! It's so annoying to hear every joint's creaking sound."
#RecordIn	ATTACK	T_Skeleton	10	0	How reckless you are! You dare to invade the Tower!	Ah...last night was of bad omen...	How was my attack? I was once a famous mercenary! Ha-ha!	Say no more!! Let's fight!
#RecordIn	DAMAGED	T_Skeleton	10	0	It makes me unhappy that I couldn't meet you when I was a mercenary.	It was a powerful attack...I could even hit upon my former life...	What a sharp attack!	Living things won't threaten me anymore.
#RecordIn	DEAD	T_Skeleton	10	0	I...I...like... this...	Talents of a mercenary...must become rusted...	This is the real eternal rest...	I cannot feel any fear even in this moment...
#RecordIn	HELPMAIN	T_Skeleton	800	800	-	-	-	-
#RecordIn	HELPSUB	T_Skeleton	800	800	Come and get me!	What! Hello! Are you out of your mind?	I had an itch for fighting. I'm coming!	"I'll get it done for sure, just entertain me after that."
#RecordIn	RACERESCUE	T_Skeleton	800	800	-	-	-	-
#RecordIn	PIECE	T_SkelWarrior	4200000	6200000	I know what I did at lastnight.	"Oh, the Lord of Darkness...please give us your peace again..."	What? Where did the enemy turn up?	This is nothing at all!!
#RecordIn	ATTACK	T_SkelWarrior	10	0	"Oh, that thrills me again!! Ha-ha!"	Let's fight more! Put out your strength!	"Right, this is the battlefield! Ha-hah!"	"You're my match. Since you stimulated me, you'll be above the average..."
#RecordIn	DAMAGED	T_SkelWarrior	10	0	"Yeah, that's right! You're quite good."	"Hey, put out your strength! More!"	Danger comes when you least expect it! Be alert at the battlefield!	"We, Undead, have no words like retreat."
#RecordIn	DEAD	T_SkelWarrior	10	0	This moment in my life....	It is...not...over...Do... it again...	"Everyone, bring it on!!"	I...was an ordinary warrior...in the past...
#RecordIn	HELPMAIN	T_SkelWarrior	800	800	Ugh.	-	-	-
#RecordIn	HELPSUB	T_SkelWarrior	800	800	Hah!	How dare you challenge the Knight...you must be insane~	Curse your foolishness.	Who challenged the Knight? You must be indiscreet!!
#RecordIn	RACERESCUE	T_SkelWarrior	800	800	-	-	-	-
#RecordIn	PIECE	T_ArchMageBook00	4400000	6400000	I'm not a merciful person. So be careful.	Someone broke into my territory. Who are you?	"I can smell the mortals...Hm...Right, I don't have a nose...Oops..."	Read me~! You can get amazing finformation~!!
#RecordIn	ATTACK	T_ArchMageBook00	10	0	I already have a good grasp of you!	Magic has the infinite potential.	You are already dead!	"Magic Book page 245, Attack with Immortal Inferno magic!!"
#RecordIn	DAMAGED	T_ArchMageBook00	10	0	You already know all about me?	It was a nice attack!	You better try even though your attack cannot hurt me.	"Then, Perfect Shield of page 366!!"
#RecordIn	DEAD	T_ArchMageBook00	10	0	I will never die!	Someone give me a life again...please...	Old memories come and go in my mind's eye.	"Tigers leave only their skins when they die, and books leave their cover when..."
#RecordIn	PIECE	T_ArchMageBook01	4400000	6400000	I'm not a merciful person. So be careful.	Someone broke into my territory. Who are you?	"I can smell the mortals...Hm...Right, I don't have a nose...Oops..."	Read me~! You can get amazing finformation~!!
#RecordIn	ATTACK	T_ArchMageBook01	10	0	I already have a good grasp of you!	Magic has the infinite potential.	You are already dead!	"Magic Book page 245, Attack with Immortal Inferno magic!!"
#RecordIn	DAMAGED	T_ArchMageBook01	10	0	You already know all about me?	It was a nice attack!	You better try even though your attack cannot hurt me.	"Then, Perfect Shield of page 366!!"
#RecordIn	DEAD	T_ArchMageBook01	10	0	I will never die!	Someone give me a life again...please...	Old memories come and go in my mind's eye.	"Tigers leave only their skins when they die, and books leave their cover when..."
#RecordIn	PIECE	T_FlyingStaff00	4600000	6600000	Friendship and loyalty are very valuable in every relationship.	There is one mortal who I can never forget in my life.	Is my body's splendor as bright as it can even make one's eyesight blind? 	Why does a garden tiger moth go into the fire even though it knows it will die there...?
#RecordIn	ATTACK	T_FlyingStaff00	10	0	It would be better if we met as a friend...	"Objectively, I am so great! Don't you agree?"	This attack will strike you a fatal blow.	Many ones get nearer to see my splendor even though they know they will die...
#RecordIn	DAMAGED	T_FlyingStaff00	10	0	You'll be dangeroud if you don't put forth your strength a litte more...	You...look familiar with that one...	This will be a boring battle.	You...are special...very special...
#RecordIn	DEAD	T_FlyingStaff00	10	0	I can accept it. I wish you good luck.	I'm so happy to know you...really...	What can I say...at the end of the moment...	I don't regret to be vanished like this...never...
#RecordIn	PIECE	T_OldFox	4800000	6800000	I see the dead.	"If they stand by the side, we can feel the signs of cold spirit...we even have a chill..."	You're annoying...	Do you know how beautiful it is to see the moon in the very dark blue night sky?
#RecordIn	ATTACK	T_OldFox	10	0	Do you see the steam of your breath?	I am alright!	Liver!! Give me a liver!! Uh-uh. Sorry to show you this shameful conduct. I was in excitement.	"On the day a full moon comes up, will you go out with me to see it?"
#RecordIn	DAMAGED	T_OldFox	10	0	Go on.	You...have the courage to look back?	You were...a tought fellow...	Your liver must be very tasty because you are this strong. I want to taste it so bad.
#RecordIn	DEAD	T_OldFox	10	0	I'll go get some sleep.	I didn't even get married!	You...behind...behind you...	A full moon comes up...a little...later...
#RecordIn	HELPMAIN	T_OldFox	800	800	Oops~ I thought you're an easy man?	"Hey, friend~ Help me~"	It's impossilbe to work alone.	Wait...a little while...help me...a little...
#RecordIn	HELPSUB	T_OldFox	800	800	"Oh, you're scaring me."	Please...take my hand...	-	-
#RecordIn	RACERESCUE	T_OldFox	800	800	-	-	-	-
#RecordIn	PIECE	T_Zombie	4400000	6400000	"I can smell you. Don't hide, come out mortals..."	-	-	-
#RecordIn	ATTACK	T_Zombie	10	0	Don't be afraid. I'll make you zombie.	-	-	-
#RecordIn	DAMAGED	T_Zombie	10	0	I'ma zombie. I don't feel any pain.	-	-	-
#RecordIn	DEAD	T_Zombie	10	0	It's strange...something's wrong...	-	-	-
#RecordIn	PIECE	T_Ghost	5000000	7000000	Will I be seen?	Mortals never know what the truth of the darkness is...	Do you see me?	What you see is not everything. Did you know that?
#RecordIn	ATTACK	T_Ghost	10	0	I'll bury you in the dark!!	"Look at you, who are thrown into confusion! It's ridiculous! Ha!"	Dodge if you can!	"How can you beat me, you can't even see me!! Ha-ha."
#RecordIn	DAMAGED	T_Ghost	10	0	Your attack is useless to me.	Ah...What happened...	Ah! It's painful!	How can it be!! You can't see me...How...
#RecordIn	DEAD	T_Ghost	10	0	"I'll live in your shadow, and watch you."	"Oh, no...I...I am going... to be vanished..."	The price for the guilt shall be paid at last.	No!! No!! It' can't be!!!
#RecordIn	PIECE	T_IceViVi	4200000	6000000	Hot sun and blazing earth are very attractive!	Did you know that there are some more who look like me?	"Sometime I see a crowd of mortals, is it a party?"	-
#RecordIn	ATTACK	T_IceViVi	10	0	Which season do you like?	"They are all tough, so you better be careful."	"If you really want to do a match, let's do a man-to-man fight."	-
#RecordIn	DAMAGED	T_IceViVi	10	0	It is boring to be locked up in the Tower.	"Ah, you are quite good. This one must be a good match."	Uh-uh...I'm inferior in strength.	-
#RecordIn	DEAD	T_IceViVi	10	0	Am I going to melt?	I feel sorry for this is an end.	No. I don't want to disappear like this!	-
#RecordIn	PIECE	T_Prock	5200000	7200000	My only joy is gardening.	Goblin or Werebear is very rude.	WA-Doo-Wariwari- Boom-Boom...	"Do you know what Nefendes is? I'm familiar with this name, but I can't remember what this is..."
#RecordIn	ATTACK	T_Prock	10	0	You're the one who ruined my garden.	You better be ready for this!	Are you surprised to see my big mouth?	I can even swallow the stone. But I don't think you're harder than stone.
#RecordIn	DAMAGED	T_Prock	10	0	Don't ever think you'll go alive!	No! I'll eat you! I'll swallow you guys all~!!	You are a bite to me.	"Hey, hey! You should protect the plant! Stop attacking!!"
#RecordIn	DEAD	T_Prock	10	0	My...my...garden...	...there's nothing to say at the end...	Yuck...I made an ugly scene.	Only disgraceful scars left.
#RecordIn	PIECE	T_Spider00	7800000	8800000	Get out! This is mine!!	Shoo~ this sound is not made from the mouth.	-	-
#RecordIn	ATTACK	T_Spider01	10	0	Gosh...did I get caught?	Shoo! Isn't it good?	-	-
#RecordIn	DAMAGED	T_Spider02	10	0	-	-	-	-
#RecordIn	DEAD	T_Spider03	10	0	Somebody...please make me stand...	-	-	-
#RecordIn	PIECE	T_Spider01	7800000	8800000	Get out! This is mine!!	-	-	-
#RecordIn	ATTACK	T_Spider02	10	0	Gosh...did I get caught?	-	-	-
#RecordIn	DAMAGED	T_Spider03	10	0	-	-	-	-
#RecordIn	DEAD	T_Spider04	10	0	Somebody...please make me stand...	-	-	-
#RecordIn	PIECE	T_KingSpider	7800000	8800000	Get out! This is mine!!	Sh~ Sh~	-	-
#RecordIn	ATTACK	T_KingSpider	10	0	Gosh...did I get caught?	Take my cobweb~!!	-	-
#RecordIn	DAMAGED	T_KingSpider	10	0	-	-	-	-
#RecordIn	DEAD	T_KingSpider	10	0	Somebody...please make me stand...	-	-	-
#RecordIn	PIECE	T_KingCall	4800000	6800000	Someone is seeking my life.	Come on! Get me!	-	-
#RecordIn	ATTACK	T_KingCall	10	0	Iyzel is my father!	-	-	-
#RecordIn	DAMAGED	T_KingCall	10	0	It's us!!! Yah!!!	"No, no, no! It was a lie! Don't! Don't come!!"	-	-
#RecordIn	DEAD	T_KingCall	10	0	I can't die like this...	Bye...	-	-
#RecordIn	PIECE	T_FlyingStaff01	4600000	6600000	Friendship and loyalty are very valuable in every relationship.	There is one mortal who I can never forget in my life.	Is my body's splendor as bright as it can even make one's eyesight blind? 	Why does a garden tiger moth go into the fire even though it knows it will die there...?
#RecordIn	ATTACK	T_FlyingStaff02	10	0	"Long ago, I thinke there was a master named Wishis."	"Objectively, I am so great! Don't you agree?"	This attack will strike you a fatal blow.	Many ones get nearer to see my splendor even though they know they will die...
#RecordIn	DAMAGED	T_FlyingStaff03	10	0	You'll be dangeroud if you don't put forth your strength a litte more...	You...look familiar with that one...	This will be a boring battle.	You...are special...very special...
#RecordIn	DEAD	T_FlyingStaff04	10	0	I want to go back to Wishis...	I'm so happy to know you...really...	What can I say...at the end of the moment...	I don't regret to be vanished like this...never...
#RecordIn	PIECE	T_DustGolem	7800000	8800000	I will kill you...you...	Krr!! Kyak..!!	Shoo~ Shoo~	-
#RecordIn	ATTACK	T_DustGolem	10	0	(Crying...)	-	Krr! Ka-hap!	-
#RecordIn	DAMAGED	T_DustGolem	10	0	Ah! It hurts...I don't want to die...	Meow? Meow?	I...I...I am strange...I feel strange...	-
#RecordIn	DEAD	T_DustGolem	10	0	Mom...mo...ther...	Meow...	-	-
#RecordIn	PIECE	T_StoneGolem	7800000	8800000	Whoo!! Yuk!!	Krr!!! Ah!!!	-	-
#RecordIn	ATTACK	T_StoneGolem	10	0	Whoo!!	"Come on! You, disgusting creature!"	Woo...	-
#RecordIn	DAMAGED	T_StoneGolem	10	0	Woo...	Krr...	Help...me...	-
#RecordIn	DEAD	T_StoneGolem	10	0	......krr......	...now...I can...disapea...	Thank...you...	-
#RecordIn	PIECE	T_PoisonGolem	7800000	8800000	Ugh......	Krr...	-	-
#RecordIn	ATTACK	T_PoisonGolem	10	0	You...you...want...to...die... in my poison...	Don't! Don't come!	-	-
#RecordIn	DAMAGED	T_PoisonGolem	10	0	Don't...don't get... closer...	I'm scared...	-	-
#RecordIn	DEAD	T_PoisonGolem	10	0	Ah....... 	Ah...I...Disapear.... 	Now...barely...	-
#RecordIn	PIECE	T_IronGolem	7800000	8800000	You'll die...You...will die...you...	Don't come closer. You'll die. You'll get hurt. It'll be painful.	Don't come. Don't come!	-
#RecordIn	ATTACK	T_IronGolem	10	0	Don't come...don't get closer...	You'll get hurt. You. You'll get hurt.	"It hurts, it really hurts."	-
#RecordIn	DAMAGED	T_IronGolem	10	0	"Ah, it hurts...It's so painful...I don't want to feel pain..."	-	-	-
#RecordIn	DEAD	T_IronGolem	10	0	i...can...go...back.......	I'm going back... now...	Thank you...You made me go back to the rest...	-
;	크리스탈성	-	-	-	-	-	-	-
#RecordIn	PIECE	C_DarkArchon	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Monsters of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkArchon	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkArchon	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkArchon	50	0	Should... Kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_BigDarkArchon	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Monsters of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_BigDarkArchon	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_BigDarkArchon	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_BigDarkArchon	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkBat	1800000	1800000	All we want is only peace!	I want to enjoy eternity in the Tower of liberal Iyzel.	"Time will flow, but emortality won't change."	Is there an intruder?
#RecordIn	ATTACK	C_DarkBat	50	0	Mortals!	Cursed be the mortals who disturb our peace.	Woo...Intruders!	Foolish mortals!
#RecordIn	DAMAGED	C_DarkBat	50	0	"Finally, we are going back to the time of Eternity!"	Shall I be vanished like this?	I want to stay a bit more.	How come we couldn't defend the Crystal Tower...
#RecordIn	DEAD	C_DarkBat	50	0	Mortals cannot be forgiven at all!	Disrupters of peace! You will be doomed.	Should...kill them all...	"You beat me, but do you guys think that you can go back alive?"
#RecordIn	PIECE	C_MasicBat	1800000	1800000	All we want is only peace!	I want to enjoy eternity in the Tower of liberal Iyzel.	"Time will flow, but emortality won't change."	Is there an intruder?
#RecordIn	ATTACK	C_MasicBat	50	0	Mortals!	Cursed be the mortals who disturb our peace.	Woo...Intruders!	Foolish mortals!
#RecordIn	DAMAGED	C_MasicBat	50	0	"Finally, we are going back to the time of Eternity!"	Shall I be vanished like this?	I want to stay a bit more.	How come we couldn't defend the Crystal Tower...
#RecordIn	DEAD	C_MasicBat	50	0	Mortals cannot be forgiven at all!	Disrupters of peace! You will be doomed.	Should...kill them all...	"You beat me, but do you guys think that you can go back alive?"
#RecordIn	PIECE	C_DarkMasFlyingStaff	1800000	1800000	Woo.......	Mortals cannot be forgiven.	Fellows of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkMasFlyingStaff	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkMasFlyingStaff	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkMasFlyingStaff	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DefGoblinSwordman	1800000	1800000	Woo.......	Mortals cannot be forgiven.	Fellows of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_DefGoblinSwordman	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DefGoblinSwordman	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DefGoblinSwordman	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_MagGoblinSwordman	1800000	1800000	Woo.......	Mortals cannot be forgiven.	Monsters of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_MagGoblinSwordman	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_MagGoblinSwordman	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_MagGoblinSwordman	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkGreenky	1800000	1800000	"Iyzel, please give us the strength!"	Mortals cannot be forgiven.	"Fellows, let's defend the Crystal Tower together!"	For Iyzel!
#RecordIn	ATTACK	C_DarkGreenky	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkGreenky	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How strong mortals are!
#RecordIn	DEAD	C_DarkGreenky	50	0	Shoud...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkJewelKeeper	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	"Go back, all of you mortals!"	For Iyzel!
#RecordIn	ATTACK	C_DarkJewelKeeper	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	For Iyzel!
#RecordIn	DAMAGED	C_DarkJewelKeeper	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkJewelKeeper	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_BigJewelKeeper	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	"Go back, all of you mortals!"	For Iyzel!
#RecordIn	ATTACK	C_BigJewelKeeper	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	For Iyzel!
#RecordIn	DAMAGED	C_BigJewelKeeper	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_BigJewelKeeper	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_GoldJewelKeeper	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_GoldJewelKeeper	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_GoldJewelKeeper	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_GoldJewelKeeper	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_BigGoldJewelKeeper	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_BigGoldJewelKeeper	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_BigGoldJewelKeeper	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_BigGoldJewelKeeper	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkKingMushRoom	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkKingMushRoom	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkKingMushRoom	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkKingMushRoom	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_KingMushRoom	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Fellows of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_KingMushRoom	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_KingMushRoom	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_KingMushRoom	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkLegendaryTree	1800000	1800000	Protect the Holy Relic of Iyzel!	Mortals cannot be forgiven.	Monsters of the Tower!	For Iyzel!
#RecordIn	ATTACK	C_DarkLegendaryTree	50	0	"Go back, mortals!"	"Let mortals go back to their territory, please!"	This is the Holy place of Iyzel!	Go back!
#RecordIn	DAMAGED	C_DarkLegendaryTree	50	0	"Iyzel, please help us!"	Is the power of mortals that much?	Oh!	How incomprehensible mortals are!
#RecordIn	DEAD	C_DarkLegendaryTree	50	0	Should...kill them all...	Shall I be vanished like this for sure?	I can't go back to the time of eternity like this~~ oh no~~~	I will never forgive!
#RecordIn	PIECE	C_DarkLips	1800000	1800000	All we want is only peace!	I want to enjoy eternity in the Tower of liberal Iyzel.	"Time will flow, but emortality won't change."	Is there an intruder?
#RecordIn	ATTACK	C_DarkLips	50	0	Mortals!	Cursed be the mortals who disturb our peace.	Woo...Intruders!	Foolish mortals!
#RecordIn	DAMAGED	C_DarkLips	50	0	"Finally, we are going back to the time of Eternity!"	Shall I be vanished like this?	I want to stay a bit more.	How come we couldn't defend the Crystal Tower...
